Name,Cl_max,Cd_0,Cm_0,Thickness,Alpha_0
Clark Y,1.3,0.009,-0.08,11.7,-3.0
Selig 1223,2.1,0.012,-0.25,12.1,-5.0
NACA 4412,1.5,0.008,-0.09,12.0,-4.0
NACA 2412,1.3,0.006,-0.05,12.0,-2.0
MH 45,0.9,0.007,0.02,9.8,0.5
MH 60,0.85,0.006,0.01,10.0,0.0
PW51,0.8,0.006,0.01,8.9,0.2
